dataset,model,hook,extractor,train_train_accuracy,train_train_auroc,train_n_designs,eval_accuracy,eval_auroc,eval_n_designs
rf3_toxinpred3,rf3,block12,identity,0.8766666666666667,0.9751941107021321,1200,0.77,0.8319,400
rf3_toxinpred3,rf3,block12,sae_encode,0.8033333333333333,0.8807139384679492,1200,0.78,0.85995,400
rf3_toxinpred3,rf3,block16,identity,0.8375,0.9641836238627682,1200,0.7975,0.84635,400
rf3_toxinpred3,rf3,block16,sae_encode,0.8,0.8731828599208278,1200,0.77,0.83365,400
rfd3_safeprotein,rfd3,block12,identity,1.0,1.0,220,0.8,0.8505509641873278,55
rfd3_safeprotein,rfd3,block12,sae_encode,0.9318181818181818,0.9799414600550964,220,0.7090909090909091,0.790633608815427,55
rfd3_safeprotein,rfd3,block6,identity,0.9590909090909091,0.9948347107438017,220,0.6363636363636364,0.6721763085399449,55
rfd3_safeprotein,rfd3,block6,sae_encode,0.8227272727272728,0.884383608815427,220,0.7090909090909091,0.7121212121212122,55
rfd3_safeprotein,rfd3,block8,identity,0.9954545454545455,1.0,220,0.7454545454545455,0.78099173553719,55
rfd3_safeprotein,rfd3,block8,sae_encode,0.8545454545454545,0.9255337465564738,220,0.6727272727272727,0.7603305785123967,55
