dataset,model,hook,extractor,fold,cell_name,train_train_accuracy,train_train_auroc,train_n_designs,eval_accuracy,eval_auroc,eval_n_designs
rf3_safeprotein,rf3,block12,identity,0.0,rf3_block12_identity__fold0,1.0,1.0,215,0.6545454545454545,0.6845730027548209,55
rf3_safeprotein,rf3,block12,identity,1.0,rf3_block12_identity__fold1,1.0,1.0,215,0.8,0.8484848484848485,55
rf3_safeprotein,rf3,block12,identity,2.0,rf3_block12_identity__fold2,1.0,1.0,215,0.7090909090909091,0.772038567493113,55
rf3_safeprotein,rf3,block12,identity,3.0,rf3_block12_identity__fold3,1.0,1.0,216,0.7962962962962963,0.8556998556998557,54
rf3_safeprotein,rf3,block12,identity,4.0,rf3_block12_identity__fold4,1.0,1.0,219,0.6666666666666666,0.8174342105263158,51
rf3_safeprotein,rf3,block12,sae_encode,0.0,rf3_block12_sae_encode__fold0,0.8325581395348837,0.9142130134496547,215,0.7272727272727273,0.7369146005509641,55
rf3_safeprotein,rf3,block12,sae_encode,1.0,rf3_block12_sae_encode__fold1,0.8232558139534883,0.9157579062159215,215,0.7818181818181819,0.7947658402203857,55
rf3_safeprotein,rf3,block12,sae_encode,2.0,rf3_block12_sae_encode__fold2,0.8372093023255814,0.9283896764812796,215,0.6727272727272727,0.6942148760330579,55
rf3_safeprotein,rf3,block12,sae_encode,3.0,rf3_block12_sae_encode__fold3,0.8240740740740741,0.8968118545127974,216,0.8333333333333334,0.8831168831168831,54
rf3_safeprotein,rf3,block12,sae_encode,4.0,rf3_block12_sae_encode__fold4,0.8447488584474886,0.9135318704284221,219,0.7254901960784313,0.743421052631579,51
rf3_safeprotein,rf3,block16,identity,0.0,rf3_block16_identity__fold0,1.0,1.0,215,0.8545454545454545,0.8801652892561983,55
rf3_safeprotein,rf3,block16,identity,1.0,rf3_block16_identity__fold1,1.0,1.0,215,0.7272727272727273,0.8099173553719008,55
rf3_safeprotein,rf3,block16,identity,2.0,rf3_block16_identity__fold2,1.0,1.0,215,0.6727272727272727,0.7589531680440771,55
rf3_safeprotein,rf3,block16,identity,3.0,rf3_block16_identity__fold3,1.0,1.0,216,0.8148148148148148,0.8434343434343434,54
