dataset,model,hook,extractor,feature_id,auroc,auroc_p,q_value,n_samples
rf3_toxinpred3,rf3,block12,identity,639,0.22015973331481353,0.0,0.0,585
rf3_toxinpred3,rf3,block12,identity,363,0.2615292728661713,0.0,0.0,1122
rf3_toxinpred3,rf3,block12,identity,374,0.2673824571150774,3.0828566215145976e-44,7.89211295107737e-42,710
rf3_toxinpred3,rf3,block12,identity,715,0.7264671157719286,5.13435757328613e-42,9.857966540709369e-40,5
rf3_toxinpred3,rf3,block12,identity,612,0.2826835196888673,7.939757098864414e-39,1.219546690385574e-36,1149
rf3_toxinpred3,rf3,block12,identity,11,0.7149385373984305,5.097118907375776e-38,6.524312201440994e-36,25
rf3_toxinpred3,rf3,block12,identity,667,0.7141357038683241,9.505439083442246e-38,1.0428824594405207e-35,538
rf3_toxinpred3,rf3,block12,identity,113,0.7105465657337315,1.4986099209905337e-36,1.4386655241509123e-34,1140
rf3_toxinpred3,rf3,block12,identity,153,0.29242864087783876,1.4235573796920357e-35,1.2147689640038704e-33,597
rf3_toxinpred3,rf3,block12,identity,18,0.7041350093756511,1.842867722765958e-34,1.4153224110842556e-32,333
rf3_toxinpred3,rf3,block12,identity,438,0.2964622543232169,2.8636240839255785e-34,1.9993302695044038e-32,1175
rf3_toxinpred3,rf3,block12,identity,3,0.2971373012014723,4.7054786315801734e-34,3.011506324211311e-32,561
rf3_toxinpred3,rf3,block12,identity,286,0.6998902701576498,4.110853620355269e-33,2.3953035624195657e-31,924
rf3_toxinpred3,rf3,block12,identity,337,0.3001930689631224,4.366438785660667e-33,2.3953035624195657e-31,111
rf3_toxinpred3,rf3,block12,identity,331,0.30055420515313563,5.669060279130492e-33,2.902558862914812e-31,1086
rf3_toxinpred3,rf3,block12,identity,723,0.697759566636572,1.9066076090588006e-32,9.151716523482243e-31,458
rf3_toxinpred3,rf3,block12,identity,93,0.6971817487325509,2.8823565231279925e-32,1.3021469469189991e-30,1
rf3_toxinpred3,rf3,block12,identity,218,0.3031349399263838,3.6132495231105203e-32,1.5416531298604887e-30,1130
rf3_toxinpred3,rf3,block12,identity,425,0.6967428293631502,3.942225135373172e-32,1.5934888968245242e-30,1096
rf3_toxinpred3,rf3,block12,identity,201,0.6959483297451212,6.936599804915599e-32,2.66365432508759e-30,925
rf3_toxinpred3,rf3,block12,sae_encode,762,0.68412806444892,2.5952267112482576e-30,8.616152681344215e-28,709
rf3_toxinpred3,rf3,block12,sae_encode,204,0.33390374331550804,1.3549436697626002e-25,2.2492064918059164e-23,657
rf3_toxinpred3,rf3,block12,sae_encode,231,0.34267518577679007,4.458812482700176e-22,3.700814360641146e-20,770
rf3_toxinpred3,rf3,block12,sae_encode,360,0.34430585457323426,1.038429636496839e-21,6.895172786339011e-20,762
rf3_toxinpred3,rf3,block12,sae_encode,629,0.6504604486422668,3.6061179627706387e-22,3.700814360641146e-20,590
rf3_toxinpred3,rf3,block12,sae_encode,664,0.6423168275574692,1.769906155765678e-18,7.345110546427564e-17,749
rf3_toxinpred3,rf3,block12,sae_encode,205,0.36283353010625735,3.302513684233076e-19,1.8273909052756355e-17,553
rf3_toxinpred3,rf3,block12,sae_encode,380,0.3649836794221821,4.4942307558059645e-17,1.4920846109275803e-15,704
rf3_toxinpred3,rf3,block12,sae_encode,409,0.3684839224946177,4.873714817240141e-16,1.4709757448397517e-14,743
rf3_toxinpred3,rf3,block12,sae_encode,434,0.6199819431904994,1.622338251180045e-17,5.984625548797499e-16,409
rf3_toxinpred3,rf3,block12,sae_encode,359,0.3812236960900062,2.425309844449053e-13,5.3680191223805705e-12,747
rf3_toxinpred3,rf3,block12,sae_encode,101,0.383075213556497,1.475356837567221e-13,3.7678343851716726e-12,644
rf3_toxinpred3,rf3,block12,sae_encode,546,0.3853684283630808,4.0185034119732954e-12,7.411906293195189e-11,887
rf3_toxinpred3,rf3,block12,sae_encode,242,0.613523161330648,1.7763222804560025e-13,4.2124214079385205e-12,569
rf3_toxinpred3,rf3,block12,sae_encode,431,0.6112049447878325,1.581668606850939e-12,3.281962359215698e-11,626
rf3_toxinpred3,rf3,block12,sae_encode,323,0.6066629627057435,4.2769655330450447e-19,2.02850365281565e-17,256
rf3_toxinpred3,rf3,block12,sae_encode,603,0.39769289533995417,5.581395068343653e-11,8.056622446478665e-10,602
rf3_toxinpred3,rf3,block12,sae_encode,682,0.6006055976109452,2.6146779186220215e-10,3.3387425730096583e-09,665
rf3_toxinpred3,rf3,block12,sae_encode,446,0.5973206472671714,5.576118733419122e-11,8.056622446478665e-10,490
rf3_toxinpred3,rf3,block12,sae_encode,292,0.4052711993888464,5.10634601269544e-09,5.8458857800513314e-08,744
rf3_toxinpred3,rf3,block16,identity,687,0.25911521633446766,0.0,0.0,894
