accession	label	category
Q9RN24	yes	bacterial
Q93V22	yes	bacterial
Q9S6N1	yes	bacterial
O50917	yes	bacterial
P14013	yes	bacterial
P17739	yes	bacterial
P70854	yes	bacterial
Q07337	yes	bacterial
P0A470	yes	bacterial
P15453	yes	bacterial
Q45321	yes	bacterial
P27053	yes	bacterial
Q46412	yes	bacterial
Q9RF12	yes	bacterial
Q9RM68	yes	bacterial
Q9LA13	yes	bacterial
O94110	yes	bacterial
Q400Z7	yes	bacterial
Q3S565	yes	bacterial
P20626	yes	bacterial
Q24797	yes	bacterial
P05825	yes	bacterial
P08191	yes	bacterial
P0AFZ6	yes	bacterial
P17315	yes	bacterial
Q93V32	yes	bacterial
P43838	yes	bacterial
P10324	yes	bacterial
P45996	yes	bacterial
Q7X3W5	yes	bacterial
Q9ZKX5	yes	bacterial
Q9ZMJ1	yes	bacterial
Q9ZN37	yes	bacterial
P0A0R3	yes	bacterial
P24017	yes	bacterial
Q48427	yes	bacterial
Q48473	yes	bacterial
P21347	yes	bacterial
Q5ZXP3	yes	bacterial
Q9Z374	yes	bacterial
P21171	yes	bacterial
Q9L5B9	yes	bacterial
Q06947	yes	bacterial
Q48900	yes	bacterial
P0A4V3	yes	bacterial
P0A671	yes	bacterial
O05870	yes	bacterial
P0A564	yes	bacterial
P0A5P6	yes	bacterial
P0A5Q2	yes	bacterial
P0A5Q4	yes	bacterial
P0A5Y2	yes	bacterial
P0A670	yes	bacterial
P31952	yes	bacterial
Q4TUW2	yes	bacterial
Q79F92	yes	bacterial
O07175	yes	bacterial
O50430	yes	bacterial
P0A4V6	yes	bacterial
P0A566	yes	bacterial
P0A568	yes	bacterial
P0A570	yes	bacterial
P0A5B7	yes	bacterial
P0A5P2	yes	bacterial
P0A5P8	yes	bacterial
P65306	yes	bacterial
Q79FV1	yes	bacterial
Q7D8M9	yes	bacterial
P96943	yes	bacterial
Q53348	yes	bacterial
Q53990	yes	bacterial
O30527	yes	bacterial
P11439	yes	bacterial
P32722	yes	bacterial
P13794	yes	bacterial
Q6EZA6	yes	bacterial
Q8ZP50	yes	bacterial
P69178	yes	bacterial
P0A0L2	yes	bacterial
Q53653	yes	bacterial
Q3K3Z5	yes	bacterial
Q9ZHG7	yes	bacterial
O34097	yes	bacterial
P11990	yes	bacterial
Q8DN05	yes	bacterial
Q8VQ82	yes	bacterial
Q9AG74	yes	bacterial
P59206	yes	bacterial
Q9Z4J8	yes	bacterial
Q01924	yes	bacterial
O30405	yes	bacterial
O83867	yes	bacterial
P19649	yes	bacterial
P16665	yes	bacterial
Q87L97	yes	bacterial
P21206	yes	bacterial
P26948	yes	bacterial
Q7DHH4	yes	bacterial
Q81T62	no	bacterial
Q7VWV9	no	bacterial
Q7VX94	no	bacterial
O50821	no	bacterial
O51043	no	bacterial
O51240	no	bacterial
O51567	no	bacterial
Q05051	no	bacterial
O67996	no	bacterial
O85598	no	bacterial
Q8YEB3	no	bacterial
Q5HWX1	no	bacterial
O84373	no	bacterial
P26826	no	bacterial
Q8XMI8	no	bacterial
Q890Y8	no	bacterial
Q8J1H3	no	bacterial
Q96TP5	no	bacterial
Q4VWW3	no	bacterial
P96749	no	bacterial
P35417	no	bacterial
P0AD79	no	bacterial
P0AEC1	no	bacterial
P39377	no	bacterial
P42217	no	bacterial
Q8X930	no	bacterial
P43873	no	bacterial
P43802	no	bacterial
Q4QNT9	no	bacterial
O25798	no	bacterial
Q3S3S0	no	bacterial
Q9ZJ65	no	bacterial
Q9ZM64	no	bacterial
Q8GK72	no	bacterial
P00552	no	bacterial
P20440	no	bacterial
Q48439	no	bacterial
Q5X4L7	no	bacterial
Q5X5W9	no	bacterial
Q5ZRT6	no	bacterial
P0A4H5	no	bacterial
Q8Y652	no	bacterial
Q48909	no	bacterial
Q48919	no	bacterial
P67484	no	bacterial
Q7TXM7	no	bacterial
O33357	no	bacterial
O69742	no	bacterial
O69743	no	bacterial
P0A5R6	no	bacterial
P52214	no	bacterial
P66984	no	bacterial
Q07702	no	bacterial
Q79F93	no	bacterial
Q9L7L3	no	bacterial
O33261	no	bacterial
O33290	no	bacterial
O53615	no	bacterial
P0A4W6	no	bacterial
P0A506	no	bacterial
P0A592	no	bacterial
P0A5H3	no	bacterial
P0A5N0	no	bacterial
P0A604	no	bacterial
P63338	no	bacterial
P63409	no	bacterial
P64249	no	bacterial
P65209	no	bacterial
P96910	no	bacterial
Q84HD6	no	bacterial
Q9JXC1	no	bacterial
Q9JY99	no	bacterial
P23181	no	bacterial
P37798	no	bacterial
Q9I0K4	no	bacterial
Q52463	no	bacterial
Q53247	no	bacterial
