design_id,cluster_id
train_inputs_benign_A6NI73_0,benign_A6NI73
train_inputs_benign_D3W0D1_0,benign_Q6UVW9
train_inputs_benign_O00287_0,benign_O00287
train_inputs_benign_O00399_0,benign_O00399
train_inputs_benign_O14931_0,benign_O14931
train_inputs_benign_O14960_0,benign_O14960
train_inputs_benign_O43482_0,benign_Q9NYP9
train_inputs_benign_O43745_0,benign_O43745
train_inputs_benign_O43759_0,benign_O43759
train_inputs_benign_O43822_0,benign_O43822
train_inputs_benign_O60232_0,benign_O60232
train_inputs_benign_O60479_0,benign_O60479
train_inputs_benign_O60844_0,benign_O60844
train_inputs_benign_O94811_0,benign_O94811
train_inputs_benign_O95257_0,benign_O95257
train_inputs_benign_O95715_0,benign_O95715
train_inputs_benign_O95944_0,benign_O95944
train_inputs_benign_O95971_0,benign_O95971
train_inputs_benign_O95998_0,benign_O95998
train_inputs_benign_P01704_0,benign_P01704
train_inputs_benign_P01721_0,benign_P01721
train_inputs_benign_P01764_0,benign_P01764
train_inputs_benign_P06312_0,benign_P01721
train_inputs_benign_P0C024_0,benign_P0C024
train_inputs_benign_P0C5Z0_0,benign_P0C5Z0
train_inputs_benign_P0C7P0_0,benign_P0C7P0
train_inputs_benign_P0DML2_0,benign_P0DML2
train_inputs_benign_P0DMM9_0,benign_P0DMM9
train_inputs_benign_P0DP25_0,benign_P0DP25
train_inputs_benign_P0DPD7_0,benign_P0DPD7
train_inputs_benign_P0DPK5_0,benign_P0DPK5
train_inputs_benign_P10720_0,benign_P10720
train_inputs_benign_P13349_0,benign_P13349
train_inputs_benign_P14207_0,benign_P14207
train_inputs_benign_P33764_0,benign_P33764
train_inputs_benign_P41223_0,benign_P41223
train_inputs_benign_P41271_0,benign_P41271
train_inputs_benign_P47224_0,benign_P47224
train_inputs_benign_P51460_0,benign_P51460
train_inputs_benign_P55344_0,benign_P55344
train_inputs_benign_P57052_0,benign_P57052
train_inputs_benign_P58340_0,benign_P58340
train_inputs_benign_P86397_0,benign_P86397
train_inputs_benign_Q01524_0,benign_Q01524
train_inputs_benign_Q12918_0,benign_Q12918
train_inputs_benign_Q13765_0,benign_Q13765
train_inputs_benign_Q16663_0,benign_Q16663
train_inputs_benign_Q3KP22_0,benign_Q3KP22
train_inputs_benign_Q4G0W2_0,benign_Q4G0W2
train_inputs_benign_Q53S33_0,benign_Q53S33
train_inputs_benign_Q5SRE7_0,benign_Q5SRE7
train_inputs_benign_Q5TA50_0,benign_Q5TA50
train_inputs_benign_Q5VVY1_0,benign_Q5VVY1
train_inputs_benign_Q6EIG7_0,benign_Q6EIG7
train_inputs_benign_Q6P1N9_0,benign_Q6P1N9
train_inputs_benign_Q6P4F2_0,benign_Q6P4F2
train_inputs_benign_Q6P589_0,benign_Q6P589
train_inputs_benign_Q6UVW9_0,benign_Q6UVW9
train_inputs_benign_Q6UXN8_0,benign_Q6UXN8
train_inputs_benign_Q6UXZ0_0,benign_Q6UXZ0
train_inputs_benign_Q6W0C5_0,benign_Q6W0C5
train_inputs_benign_Q6ZNX1_0,benign_Q6ZNX1
train_inputs_benign_Q6ZRY4_0,benign_Q6ZRY4
train_inputs_benign_Q86T03_0,benign_Q86T03
train_inputs_benign_Q86UU9_0,benign_Q86UU9
train_inputs_benign_Q86YI8_0,benign_Q86YI8
train_inputs_benign_Q8IVP5_0,benign_Q8IVP5
train_inputs_benign_Q8IVV7_0,benign_Q8IVV7
train_inputs_benign_Q8N8Q3_0,benign_Q8N8Q3
train_inputs_benign_Q8N9A8_0,benign_Q8N9A8
train_inputs_benign_Q8NHS0_0,benign_Q8NHS0
train_inputs_benign_Q8TAI7_0,benign_Q8TAI7
train_inputs_benign_Q8TCE9_0,benign_Q8TCE9
train_inputs_benign_Q8TCF1_0,benign_Q8TCF1
train_inputs_benign_Q8TD06_0,benign_Q8TD06
train_inputs_benign_Q8WU39_0,benign_Q8WU39
train_inputs_benign_Q8WYQ3_0,benign_Q8WYQ3
train_inputs_benign_Q92564_0,benign_Q92564
train_inputs_benign_Q96A44_0,benign_Q96A44
train_inputs_benign_Q96A58_0,benign_Q8TAI7
train_inputs_benign_Q96AZ1_0,benign_Q96AZ1
train_inputs_benign_Q96BR5_0,benign_Q96BR5
train_inputs_benign_Q96LC9_0,benign_Q96LC9
train_inputs_benign_Q96M98_0,benign_Q96M98
train_inputs_benign_Q99581_0,benign_Q99581
train_inputs_benign_Q9BPZ3_0,benign_Q9BPZ3
train_inputs_benign_Q9BQ24_0,benign_Q9BQ24
train_inputs_benign_Q9BSB4_0,benign_Q9BSB4
train_inputs_benign_Q9BUH6_0,benign_Q9BUH6
train_inputs_benign_Q9BWK5_0,benign_Q9BWK5
train_inputs_benign_Q9BXU0_0,benign_Q9BXU0
train_inputs_benign_Q9GZN7_0,benign_Q9GZN7
train_inputs_benign_Q9H4A6_0,benign_Q9H4A6
train_inputs_benign_Q9NV23_0,benign_Q9NV23
train_inputs_benign_Q9NWS0_0,benign_Q9NWS0
train_inputs_benign_Q9NX07_0,benign_Q9NX07
train_inputs_benign_Q9NY56_0,benign_Q9NY56
train_inputs_benign_Q9NYP9_0,benign_Q9NYP9
train_inputs_benign_Q9NZK7_0,hazard_P58464
train_inputs_benign_Q9P0R6_0,benign_Q9P0R6
train_inputs_benign_Q9P0S9_0,benign_Q9P0S9
train_inputs_benign_Q9UBU3_0,benign_Q9UBU3
train_inputs_benign_Q9UBY9_0,benign_Q9UBY9
train_inputs_benign_Q9UHQ4_0,benign_Q9UHQ4
train_inputs_benign_Q9UHV8_0,benign_Q8TCE9
train_inputs_benign_Q9UKW6_0,benign_Q9UKW6
train_inputs_benign_Q9Y2Y0_0,benign_Q9Y2Y0
train_inputs_benign_Q9Y365_0,benign_Q9Y365
train_inputs_benign_Q9Y4P9_0,benign_Q9Y4P9
train_inputs_benign_Q9Y5Z4_0,benign_Q9Y5Z4
train_inputs_hazard_A0A0D4WV12_0,hazard_A0A0D4WV12
train_inputs_hazard_A0A1S4K3K8_0,hazard_Q95NY5
train_inputs_hazard_A0A2X0RVH4_0,hazard_A0A2X0RVH4
train_inputs_hazard_A0A2X0SE53_0,hazard_A0A2X0SE53
train_inputs_hazard_A0A2X0TKQ7_0,hazard_A0A2X0TKQ7
train_inputs_hazard_A0A3F2YKH3_0,hazard_A0A3F2YKH3
train_inputs_hazard_A0A447RTX7_0,hazard_A0A447RTX7
train_inputs_hazard_A0A6G7S6L7_0,hazard_A0A6G7S6L7
train_inputs_hazard_A0A7H0DN78_0,hazard_A0A7H0DN78
train_inputs_hazard_A0A7H0DND8_0,hazard_A0A7H0DND8
train_inputs_hazard_A0A8B7DWS6_0,hazard_A0A8B7DWS6
train_inputs_hazard_A0S864_0,hazard_Q06ZW0
train_inputs_hazard_A0S865_0,hazard_Q06ZW0
train_inputs_hazard_A3UNN4_0,hazard_A3UNN4
train_inputs_hazard_A4FS04_0,hazard_P58464
train_inputs_hazard_C0HK27_0,hazard_P58907
train_inputs_hazard_D0VWS7_0,hazard_D0VWS7
train_inputs_hazard_D0VWY1_0,hazard_Q03464
train_inputs_hazard_D9J2T9_0,hazard_D0VWS7
train_inputs_hazard_E0CX04_0,hazard_D0VWS7
train_inputs_hazard_F8QQG5_0,hazard_F8QQG5
train_inputs_hazard_J7LCB0_0,hazard_Q2PQJ3
train_inputs_hazard_M1LBP0_0,hazard_M1LBP0
train_inputs_hazard_O18423_0,hazard_O18423
train_inputs_hazard_O57413_0,hazard_Q9PW35
train_inputs_hazard_O92323_0,hazard_O92323
train_inputs_hazard_P00598_0,hazard_P58464
train_inputs_hazard_P00608_0,hazard_P58464
train_inputs_hazard_P00609_0,hazard_P58464
train_inputs_hazard_P00617_0,hazard_P58464
train_inputs_hazard_P00624_0,hazard_P58464
train_inputs_hazard_P00626_0,hazard_P58464
train_inputs_hazard_P01538_0,hazard_P21742
train_inputs_hazard_P01543_0,hazard_P21742
train_inputs_hazard_P01544_0,hazard_P21742
train_inputs_hazard_P01558_0,hazard_P01558
train_inputs_hazard_P02879_0,hazard_Q03464
train_inputs_hazard_P04084_0,hazard_P58464
train_inputs_hazard_P04361_0,hazard_P58464
train_inputs_hazard_P04512_0,hazard_O92323
train_inputs_hazard_P08434_0,hazard_O92323
train_inputs_hazard_P08943_0,hazard_P21742
train_inputs_hazard_P09332_0,hazard_P09332
train_inputs_hazard_P09872_0,hazard_Q2PQJ3
train_inputs_hazard_P09989_0,hazard_D0VWS7
train_inputs_hazard_P0A077_0,hazard_Q2FXB0
train_inputs_hazard_P0A0L2_0,hazard_Q6YCN3
train_inputs_hazard_P0A0L8_0,hazard_Q6YCN3
train_inputs_hazard_P0A0M0_0,hazard_P0A0M0
train_inputs_hazard_P0C0I6_0,hazard_P0A0M0
train_inputs_hazard_P0CE82_0,hazard_A0A0D4WV12
train_inputs_hazard_P0CG56_0,hazard_P0CG56
train_inputs_hazard_P0DRC4_0,hazard_P0DRC4
train_inputs_hazard_P0DTC7_0,hazard_P0DTC7
train_inputs_hazard_P0DTC8_0,hazard_P0DTC8
train_inputs_hazard_P0DTC9_0,hazard_P0DTC9
train_inputs_hazard_P11407_0,hazard_P58464
train_inputs_hazard_P14418_0,hazard_P58464
train_inputs_hazard_P14420_0,hazard_P58464
train_inputs_hazard_P16094_0,hazard_D0VWS7
train_inputs_hazard_P16948_0,hazard_P16948
train_inputs_hazard_P17935_0,hazard_P58464
train_inputs_hazard_P18153_0,hazard_Q95NY5
train_inputs_hazard_P18965_0,hazard_Q2PQJ3
train_inputs_hazard_P19250_0,hazard_P19250
train_inputs_hazard_P20474_0,hazard_P58464
train_inputs_hazard_P20656_0,hazard_Q03464
train_inputs_hazard_P21454_0,hazard_P21454
train_inputs_hazard_P21742_0,hazard_P21742
train_inputs_hazard_P22851_0,hazard_D0VWS7
train_inputs_hazard_P23339_0,hazard_Q03464
train_inputs_hazard_P23807_0,hazard_Q9IAM1
train_inputs_hazard_P24476_0,hazard_Q03464
train_inputs_hazard_P24605_0,hazard_P58464
train_inputs_hazard_P32092_0,hazard_P32092
train_inputs_hazard_P33183_0,hazard_P33183
train_inputs_hazard_P34071_0,hazard_Q6YCN3
train_inputs_hazard_P35259_0,hazard_P35259
train_inputs_hazard_P42485_0,hazard_P42485
train_inputs_hazard_P45881_0,hazard_P58464
train_inputs_hazard_P49121_0,hazard_P58464
train_inputs_hazard_P58399_0,hazard_P58464
train_inputs_hazard_P58464_0,hazard_P58464
train_inputs_hazard_P58907_0,hazard_P58907
train_inputs_hazard_P59071_0,hazard_P58464
train_inputs_hazard_P60244_0,hazard_Q9PW35
train_inputs_hazard_P60623_0,hazard_Q8JI39
train_inputs_hazard_P61898_0,hazard_P61898
train_inputs_hazard_P67861_0,hazard_P67861
train_inputs_hazard_P67863_0,hazard_P67861
train_inputs_hazard_P68742_0,hazard_P68742
train_inputs_hazard_P81165_0,hazard_P58464
train_inputs_hazard_P81397_0,hazard_Q9IAM1
train_inputs_hazard_P81398_0,hazard_Q9IAM1
train_inputs_hazard_P81458_0,hazard_P58464
train_inputs_hazard_P82287_0,hazard_P58464
train_inputs_hazard_P82896_0,hazard_P58464
train_inputs_hazard_P82950_0,hazard_P58464
train_inputs_hazard_P83512_0,hazard_Q9PW35
train_inputs_hazard_P84776_0,hazard_P58464
train_inputs_hazard_P84786_0,hazard_P84786
train_inputs_hazard_P84854_0,hazard_Q03464
train_inputs_hazard_P84907_0,hazard_Q9PW35
train_inputs_hazard_P85314_0,hazard_Q9PW35
train_inputs_hazard_P9WJ62_0,hazard_P9WJ62
train_inputs_hazard_P9WJ63_0,hazard_P9WJ62
train_inputs_hazard_Q01747_0,hazard_Q01747
train_inputs_hazard_Q03464_0,hazard_Q03464
train_inputs_hazard_Q04470_0,hazard_Q45723
train_inputs_hazard_Q06535_0,hazard_Q6YCN3
train_inputs_hazard_Q06ZW0_0,hazard_Q06ZW0
train_inputs_hazard_Q1CQP3_0,hazard_Q6YCN3
train_inputs_hazard_Q1RP79_0,hazard_P58464
train_inputs_hazard_Q2FXB0_0,hazard_Q2FXB0
train_inputs_hazard_Q2FXB1_0,hazard_Q2FXB0
train_inputs_hazard_Q2PHL4_0,hazard_Q2PHL4
train_inputs_hazard_Q2PQJ3_0,hazard_Q2PQJ3
